date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
2018-11-23,1517.0,1502.06,1536.2,1501.81,2707642,1517.0,1502.06,1536.2,1501.81,2707642,0.0,0.0,"Nov 23, 18",0.0
2018-11-26,1539.0,1581.33,1584.81,1524.22,6257716,1539.0,1581.33,1584.81,1524.22,6257716,79.27,5.2774,"Nov 26, 18",0.052774
2018-11-27,1575.99,1581.42,1597.65,1558.01,5783227,1575.99,1581.42,1597.65,1558.01,5783227,0.09,0.0057,"Nov 27, 18",0.052834
2018-11-28,1613.92,1677.75,1681.45,1601.21,8458738,1613.92,1677.75,1681.45,1601.21,8458738,96.33,6.0914,"Nov 28, 18",0.116966
2018-11-29,1674.99,1673.57,1689.99,1652.33,6613243,1674.99,1673.57,1689.99,1652.33,6613243,-4.18,-0.2491,"Nov 29, 18",0.114183
2018-11-30,1679.5,1690.17,1696.0,1666.5,5761761,1679.5,1690.17,1696.0,1666.5,5761761,16.6,0.9919,"Nov 30, 18",0.125235
2018-12-03,1769.46,1772.36,1778.34,1730.0,6862160,1769.46,1772.36,1778.34,1730.0,6862160,82.19,4.8628,"Dec 3, 18",0.179953
2018-12-04,1756.0,1668.4,1770.33,1665.0,8694455,1756.0,1668.4,1770.33,1665.0,8694455,-103.96,-5.8656,"Dec 4, 18",0.110741
2018-12-06,1614.87,1699.19,1701.05,1609.85,8789394,1614.87,1699.19,1701.05,1609.85,8789394,30.79,1.8455,"Dec 6, 18",0.13124
2018-12-07,1705.07,1629.13,1718.92,1625.46,7576132,1705.07,1629.13,1718.92,1625.46,7576132,-70.06,-4.1231,"Dec 7, 18",0.084597
2018-12-10,1623.84,1641.03,1657.99,1590.87,7494808,1623.84,1641.03,1657.99,1590.87,7494808,11.9,0.7305,"Dec 10, 18",0.09252
2018-12-11,1678.0,1643.24,1679.46,1619.6,6244695,1678.0,1643.24,1679.46,1619.6,6244695,2.21,0.1347,"Dec 11, 18",0.093991
2018-12-12,1669.0,1663.54,1704.99,1660.27,6597968,1669.0,1663.54,1704.99,1660.27,6597968,20.3,1.2354,"Dec 12, 18",0.107506
2018-12-13,1680.0,1658.38,1692.12,1641.5,5271162,1680.0,1658.38,1692.12,1641.5,5271162,-5.16,-0.3102,"Dec 13, 18",0.10407
2018-12-14,1638.0,1591.91,1642.57,1585.0,6367163,1638.0,1591.91,1642.57,1585.0,6367163,-66.47,-4.0081,"Dec 14, 18",0.059818
2018-12-17,1566.0,1520.91,1576.13,1505.01,8829762,1566.0,1520.91,1576.13,1505.01,8829762,-71.0,-4.4601,"Dec 17, 18",0.012549
2018-12-18,1540.0,1551.48,1567.55,1523.01,6522975,1540.0,1551.48,1567.55,1523.01,6522975,30.57,2.01,"Dec 18, 18",0.032901
2018-12-19,1543.05,1495.08,1584.53,1483.18,8792189,1543.05,1495.08,1584.53,1483.18,8792189,-56.4,-3.6352,"Dec 19, 18",-0.004647
2018-12-20,1484.0,1460.83,1509.5,1432.69,9991833,1484.0,1460.83,1509.5,1432.69,9991833,-34.25,-2.2908,"Dec 20, 18",-0.027449
2018-12-21,1464.99,1377.45,1480.0,1363.96,13640320,1464.99,1377.45,1480.0,1363.96,13640320,-83.38,-5.7077,"Dec 21, 18",-0.082959
2018-12-24,1346.0,1343.96,1396.03,1307.0,7219996,1346.0,1343.96,1396.03,1307.0,7219996,-33.49,-2.4313,"Dec 24, 18",-0.105255
2018-12-26,1368.89,1470.9,1473.15,1363.01,10411801,1368.89,1470.9,1473.15,1363.01,10411801,126.94,9.4452,"Dec 26, 18",-0.020745
2018-12-27,1454.2,1461.64,1469.0,1390.31,9722034,1454.2,1461.64,1469.0,1390.31,9722034,-9.26,-0.6295,"Dec 27, 18",-0.02691
2018-12-28,1473.35,1478.02,1513.47,1449.0,8828950,1473.35,1478.02,1513.47,1449.0,8828950,16.38,1.1207,"Dec 28, 18",-0.016005
2018-12-31,1510.8,1501.97,1520.76,1487.0,6954507,1510.8,1501.97,1520.76,1487.0,6954507,23.95,1.6204,"Dec 31, 18",-6e-05
2019-01-02,1465.2,1539.13,1553.36,1460.93,7983103,1465.2,1539.13,1553.36,1460.93,7983103,37.16,2.4741,"Jan 2, 19",0.024679
2019-01-03,1520.01,1500.28,1538.0,1497.11,6975572,1520.01,1500.28,1538.0,1497.11,6975572,-38.85,-2.5242,"Jan 3, 19",-0.001185
2019-01-04,1530.0,1575.39,1594.0,1518.31,9182575,1530.0,1575.39,1594.0,1518.31,9182575,75.11,5.0064,"Jan 4, 19",0.04882
2019-01-07,1602.31,1629.51,1634.56,1589.18,7993213,1602.31,1629.51,1634.56,1589.18,7993213,54.12,3.4353,"Jan 7, 19",0.08485
2019-01-08,1664.69,1656.58,1676.61,1616.61,8881428,1664.69,1656.58,1676.61,1616.61,8881428,27.07,1.6612,"Jan 8, 19",0.102872
2019-01-09,1652.98,1659.42,1667.79,1641.39,6348801,1652.98,1659.42,1667.79,1641.39,6348801,2.84,0.1714,"Jan 9, 19",0.104763
2019-01-10,1641.01,1656.22,1663.25,1621.61,6507693,1641.01,1656.22,1663.25,1621.61,6507693,-3.2,-0.1928,"Jan 10, 19",0.102632
2019-01-11,1640.55,1640.56,1660.29,1636.22,4686222,1640.55,1640.56,1660.29,1636.22,4686222,-15.66,-0.9455,"Jan 11, 19",0.092207
2019-01-14,1615.0,1617.21,1648.2,1595.15,6005888,1615.0,1617.21,1648.2,1595.15,6005888,-23.35,-1.4233,"Jan 14, 19",0.076661
2019-01-15,1632.0,1674.56,1675.16,1626.01,5998510,1632.0,1674.56,1675.16,1626.01,5998510,57.35,3.5462,"Jan 15, 19",0.114842
2019-01-16,1684.22,1683.78,1705.0,1675.87,6366864,1684.22,1683.78,1705.0,1675.87,6366864,9.22,0.5506,"Jan 16, 19",0.120981
2019-01-17,1680.0,1693.22,1700.17,1677.5,4208875,1680.0,1693.22,1700.17,1677.5,4208875,9.44,0.5606,"Jan 17, 19",0.127265
2019-01-18,1712.0,1696.2,1716.2,1691.54,6020503,1712.0,1696.2,1716.2,1691.54,6020503,2.98,0.176,"Jan 18, 19",0.129249
2019-01-22,1681.0,1632.17,1681.86,1610.2,6416796,1681.0,1632.17,1681.86,1610.2,6416796,-64.03,-3.7749,"Jan 22, 19",0.086621
2019-01-23,1656.0,1640.02,1657.43,1612.0,5225212,1656.0,1640.02,1657.43,1612.0,5225212,7.85,0.481,"Jan 23, 19",0.091847
2019-01-24,1641.07,1654.93,1657.25,1631.78,4089943,1641.07,1654.93,1657.25,1631.78,4089943,14.91,0.9091,"Jan 24, 19",0.101774
2019-01-25,1670.5,1670.57,1683.48,1661.61,4959679,1670.5,1670.57,1683.48,1661.61,4959679,15.64,0.9451,"Jan 25, 19",0.112186
2019-01-28,1643.59,1637.89,1645.0,1614.09,4837711,1643.59,1637.89,1645.0,1614.09,4837711,-32.68,-1.9562,"Jan 28, 19",0.090429
2019-01-29,1631.27,1593.88,1632.38,1590.72,4632782,1631.27,1593.88,1632.38,1590.72,4632782,-44.01,-2.687,"Jan 29, 19",0.061129
2019-01-30,1623.0,1670.43,1676.95,1619.68,5783822,1623.0,1670.43,1676.95,1619.68,5783822,76.55,4.8027,"Jan 30, 19",0.112093
2019-01-31,1692.85,1718.73,1736.41,1679.08,10910338,1692.85,1718.73,1736.41,1679.08,10910338,48.3,2.8915,"Jan 31, 19",0.144249
2019-02-01,1638.88,1626.23,1673.06,1622.01,11506213,1638.88,1626.23,1673.06,1622.01,11506213,-92.5,-5.3819,"Feb 1, 19",0.082666
2019-02-04,1623.0,1633.31,1649.63,1613.5,4929187,1623.0,1633.31,1649.63,1613.5,4929187,7.08,0.4354,"Feb 4, 19",0.08738
2019-02-05,1643.34,1658.81,1665.26,1642.5,4453105,1643.34,1658.81,1665.26,1642.5,4453105,25.5,1.5612,"Feb 5, 19",0.104357
2019-02-06,1670.75,1640.26,1672.26,1633.34,3939883,1670.75,1640.26,1672.26,1633.34,3939883,-18.55,-1.1183,"Feb 6, 19",0.092007
2019-02-07,1625.0,1614.37,1625.53,1592.91,4626589,1625.0,1614.37,1625.53,1592.91,4626589,-25.89,-1.5784,"Feb 7, 19",0.074771
2019-02-08,1586.0,1588.22,1588.59,1566.75,5657457,1586.0,1588.22,1588.59,1566.75,5657457,-26.15,-1.6198,"Feb 8, 19",0.057361
2019-02-11,1600.98,1591.0,1609.29,1586.0,3317328,1600.98,1591.0,1609.29,1586.0,3317328,2.78,0.175,"Feb 11, 19",0.059212
2019-02-12,1604.0,1638.01,1639.39,1598.88,4858604,1604.0,1638.01,1639.39,1598.88,4858604,47.01,2.9547,"Feb 12, 19",0.090509
2019-02-13,1647.0,1640.0,1656.38,1637.1,3560321,1647.0,1640.0,1656.38,1637.1,3560321,1.99,0.1215,"Feb 13, 19",0.091834
2019-02-14,1624.5,1622.65,1637.9,1606.06,4120524,1624.5,1622.65,1637.9,1606.06,4120524,-17.35,-1.0579,"Feb 14, 19",0.080283
2019-02-15,1627.86,1607.95,1628.9,1604.5,4343893,1627.86,1607.95,1628.9,1604.5,4343893,-14.7,-0.9059,"Feb 15, 19",0.070497
2019-02-19,1601.0,1627.58,1634.0,1600.56,3681656,1601.0,1627.58,1634.0,1600.56,3681656,19.63,1.2208,"Feb 19, 19",0.083565
2019-02-20,1630.0,1622.1,1634.93,1610.12,3337589,1630.0,1622.1,1634.93,1610.12,3337589,-5.48,-0.3367,"Feb 20, 19",0.079917
2019-02-21,1619.85,1619.44,1623.56,1600.91,3483392,1619.85,1619.44,1623.56,1600.91,3483392,-2.66,-0.164,"Feb 21, 19",0.078146
2019-02-22,1623.5,1631.56,1634.94,1621.17,3096191,1623.5,1631.56,1634.94,1621.17,3096191,12.12,0.7484,"Feb 22, 19",0.086215
2019-02-25,1641.45,1633.0,1654.6,1630.38,3184462,1641.45,1633.0,1654.6,1630.38,3184462,1.44,0.0883,"Feb 25, 19",0.087174
2019-02-26,1625.98,1636.4,1639.99,1616.13,2665815,1625.98,1636.4,1639.99,1616.13,2665815,3.4,0.2082,"Feb 26, 19",0.089437
2019-02-27,1628.18,1641.09,1641.81,1615.1,3148824,1628.18,1641.09,1641.81,1615.1,3148824,4.69,0.2866,"Feb 27, 19",0.09256
2019-02-28,1635.25,1639.83,1651.77,1633.83,3025891,1635.25,1639.83,1651.77,1633.83,3025891,-1.26,-0.0768,"Feb 28, 19",0.091721
2019-03-01,1655.13,1671.73,1674.26,1651.0,4974877,1655.13,1671.73,1674.26,1651.0,4974877,31.9,1.9453,"Mar 1, 19",0.112958
2019-03-04,1685.0,1696.17,1709.43,1674.36,6167358,1685.0,1696.17,1709.43,1674.36,6167358,24.44,1.462,"Mar 4, 19",0.129229
2019-03-05,1702.95,1692.43,1707.8,1689.01,3681522,1702.95,1692.43,1707.8,1689.01,3681522,-3.74,-0.2205,"Mar 5, 19",0.126739
2019-03-06,1695.97,1668.95,1697.75,1668.28,3996001,1695.97,1668.95,1697.75,1668.28,3996001,-23.48,-1.3874,"Mar 6, 19",0.111107
2019-03-07,1667.37,1625.95,1669.75,1620.51,4957017,1667.37,1625.95,1669.75,1620.51,4957017,-43.0,-2.5765,"Mar 7, 19",0.08248
2019-03-08,1604.01,1620.8,1622.72,1586.57,4667014,1604.01,1620.8,1622.72,1586.57,4667014,-5.15,-0.3167,"Mar 8, 19",0.079051
2019-03-11,1626.12,1670.62,1672.28,1626.01,3876352,1626.12,1670.62,1672.28,1626.01,3876352,49.82,3.0738,"Mar 11, 19",0.112219
2019-03-12,1669.0,1673.1,1684.26,1660.98,3614498,1669.0,1673.1,1684.26,1660.98,3614498,2.48,0.1484,"Mar 12, 19",0.11387
2019-03-13,1683.0,1690.81,1700.0,1679.35,3552041,1683.0,1690.81,1700.0,1679.35,3552041,17.71,1.0585,"Mar 13, 19",0.125661
2019-03-14,1691.2,1686.22,1702.0,1684.34,2946618,1691.2,1686.22,1702.0,1684.34,2946618,-4.59,-0.2715,"Mar 14, 19",0.122605
2019-03-15,1703.0,1712.36,1718.8,1693.13,7550870,1703.0,1712.36,1718.8,1693.13,7550870,26.14,1.5502,"Mar 15, 19",0.140008
2019-03-18,1712.7,1742.15,1750.0,1712.63,5429058,1712.7,1742.15,1750.0,1712.63,5429058,29.79,1.7397,"Mar 18, 19",0.15984
2019-03-19,1753.51,1761.85,1784.16,1753.51,6364161,1753.51,1761.85,1784.16,1753.51,6364161,19.7,1.1308,"Mar 19, 19",0.172956
2019-03-20,1769.94,1797.27,1799.5,1767.03,6265633,1769.94,1797.27,1799.5,1767.03,6265633,35.42,2.0104,"Mar 20, 19",0.196537
2019-03-21,1796.26,1819.26,1823.75,1787.28,5767797,1796.26,1819.26,1823.75,1787.28,5767797,21.99,1.2235,"Mar 21, 19",0.211177
2019-03-22,1810.17,1764.77,1818.98,1763.11,6362983,1810.17,1764.77,1818.98,1763.11,6362983,-54.49,-2.9952,"Mar 22, 19",0.1749
2019-03-25,1757.79,1774.26,1782.67,1747.5,5103803,1757.79,1774.26,1782.67,1747.5,5103803,9.49,0.5377,"Mar 25, 19",0.181218
2019-03-26,1793.0,1783.76,1805.77,1773.35,4865880,1793.0,1783.76,1805.77,1773.35,4865880,9.5,0.5354,"Mar 26, 19",0.187542
2019-03-27,1784.13,1765.7,1787.5,1745.68,4324801,1784.13,1765.7,1787.5,1745.68,4324801,-18.06,-1.0125,"Mar 27, 19",0.175519
2019-03-28,1770.0,1773.42,1777.93,1753.47,3042958,1770.0,1773.42,1777.93,1753.47,3042958,7.72,0.4372,"Mar 28, 19",0.180659
2019-03-29,1786.58,1780.75,1792.86,1776.63,3320793,1786.58,1780.75,1792.86,1776.63,3320793,7.33,0.4133,"Mar 29, 19",0.185539
2019-04-01,1800.11,1814.19,1815.67,1798.73,4238752,1800.11,1814.19,1815.67,1798.73,4238752,33.44,1.8779,"Apr 1, 19",0.207801
2019-04-02,1811.02,1813.98,1820.0,1805.12,3448115,1811.02,1813.98,1820.0,1805.12,3448115,-0.21,-0.0116,"Apr 2, 19",0.207661
2019-04-03,1826.72,1820.7,1830.0,1809.62,3980590,1826.72,1820.7,1830.0,1809.62,3980590,6.72,0.3705,"Apr 3, 19",0.212135
2019-04-04,1820.65,1818.86,1828.75,1804.2,3623867,1820.65,1818.86,1828.75,1804.2,3623867,-1.84,-0.1011,"Apr 4, 19",0.21091
2019-04-05,1829.0,1837.28,1838.58,1825.19,3640476,1829.0,1837.28,1838.58,1825.19,3640476,18.42,1.0127,"Apr 5, 19",0.223174
2019-04-08,1833.23,1849.86,1850.2,1825.11,3752841,1833.23,1849.86,1850.2,1825.11,3752841,12.58,0.6847,"Apr 8, 19",0.231549
2019-04-09,1845.49,1835.84,1853.09,1831.78,3714368,1845.49,1835.84,1853.09,1831.78,3714368,-14.02,-0.7579,"Apr 9, 19",0.222215
2019-04-10,1841.0,1847.33,1848.0,1828.81,2963973,1841.0,1847.33,1848.0,1828.81,2963973,11.49,0.6259,"Apr 10, 19",0.229864
2019-04-11,1848.7,1844.07,1849.95,1840.31,2654842,1848.7,1844.07,1849.95,1840.31,2654842,-3.26,-0.1765,"Apr 11, 19",0.227694
2019-04-12,1848.4,1843.06,1851.5,1841.3,3114413,1848.4,1843.06,1851.5,1841.3,3114413,-1.01,-0.0548,"Apr 12, 19",0.227022
2019-04-15,1842.0,1844.87,1846.85,1818.9,3724423,1842.0,1844.87,1846.85,1818.9,3724423,1.81,0.0982,"Apr 15, 19",0.228227
2019-04-16,1851.35,1863.04,1869.77,1848.0,3044618,1851.35,1863.04,1869.77,1848.0,3044618,18.17,0.9849,"Apr 16, 19",0.240323
2019-04-17,1872.99,1864.82,1876.47,1860.44,2893517,1872.99,1864.82,1876.47,1860.44,2893517,1.78,0.0955,"Apr 17, 19",0.241508
2019-04-18,1868.79,1861.69,1870.82,1859.48,2749882,1868.79,1861.69,1870.82,1859.48,2749882,-3.13,-0.1678,"Apr 18, 19",0.239425
2019-04-22,1855.4,1887.31,1888.42,1845.64,3373807,1855.4,1887.31,1888.42,1845.64,3373807,25.62,1.3762,"Apr 22, 19",0.256481
2019-04-23,1891.2,1923.77,1929.26,1889.58,4640441,1891.2,1923.77,1929.26,1889.58,4640441,36.46,1.9319,"Apr 23, 19",0.280754
2019-04-24,1925.0,1901.75,1929.69,1898.16,3675781,1925.0,1901.75,1929.69,1898.16,3675781,-22.02,-1.1446,"Apr 24, 19",0.266095
2019-04-25,1917.0,1902.25,1922.45,1900.31,6099101,1917.0,1902.25,1922.45,1900.31,6099101,0.5,0.0263,"Apr 25, 19",0.266427
2019-04-26,1929.0,1950.63,1951.0,1898.0,8432563,1929.0,1950.63,1951.0,1898.0,8432563,48.38,2.5433,"Apr 26, 19",0.298637
2019-04-29,1949.0,1938.43,1956.33,1934.09,4021255,1949.0,1938.43,1956.33,1934.09,4021255,-12.2,-0.6254,"Apr 29, 19",0.290514
2019-04-30,1930.1,1926.52,1935.71,1906.95,3506007,1930.1,1926.52,1935.71,1906.95,3506007,-11.91,-0.6144,"Apr 30, 19",0.282585
2019-05-01,1933.09,1911.52,1943.64,1910.55,3116964,1933.09,1911.52,1943.64,1910.55,3116964,-15.0,-0.7786,"May 1, 19",0.272599
2019-05-02,1913.33,1900.82,1921.55,1881.87,3962915,1913.33,1900.82,1921.55,1881.87,3962915,-10.7,-0.5598,"May 2, 19",0.265475
2019-05-03,1949.0,1962.46,1964.4,1936.0,6381564,1949.0,1962.46,1964.4,1936.0,6381564,61.64,3.2428,"May 3, 19",0.306512
2019-05-06,1917.98,1950.55,1959.0,1910.5,5417841,1917.98,1950.55,1959.0,1910.5,5417841,-11.91,-0.6069,"May 6, 19",0.298583
2019-05-07,1939.99,1921.0,1949.1,1903.37,5902134,1939.99,1921.0,1949.1,1903.37,5902134,-29.55,-1.515,"May 7, 19",0.27891
2019-05-08,1918.87,1917.77,1935.37,1910.0,4078568,1918.87,1917.77,1935.37,1910.0,4078568,-3.23,-0.1681,"May 8, 19",0.27676
2019-05-09,1900.0,1899.87,1909.4,1876.0,5308263,1900.0,1899.87,1909.4,1876.0,5308263,-17.9,-0.9334,"May 9, 19",0.264843
2019-05-10,1898.0,1889.98,1903.79,1856.0,5717994,1898.0,1889.98,1903.79,1856.0,5717994,-9.89,-0.5206,"May 10, 19",0.258259
2019-05-13,1836.56,1822.68,1846.53,1818.0,5783410,1836.56,1822.68,1846.53,1818.0,5783410,-67.3,-3.5609,"May 13, 19",0.213454
2019-05-14,1839.5,1840.12,1852.44,1815.75,4629107,1839.5,1840.12,1852.44,1815.75,4629107,17.44,0.9568,"May 14, 19",0.225064
2019-05-15,1827.95,1871.15,1874.42,1823.0,4692642,1827.95,1871.15,1874.42,1823.0,4692642,31.03,1.6863,"May 15, 19",0.245723
2019-05-16,1885.94,1907.57,1917.51,1882.29,4707822,1885.94,1907.57,1917.51,1882.29,4707822,36.42,1.9464,"May 16, 19",0.269969
2019-05-17,1893.05,1869.0,1910.53,1867.33,4736618,1893.05,1869.0,1910.53,1867.33,4736618,-38.57,-2.0219,"May 17, 19",0.244291
2019-05-20,1852.69,1858.97,1867.78,1835.54,3798198,1852.69,1858.97,1867.78,1835.54,3798198,-10.03,-0.5367,"May 20, 19",0.237614
2019-05-21,1874.79,1857.52,1879.0,1846.0,4005122,1874.79,1857.52,1879.0,1846.0,4005122,-1.45,-0.078,"May 21, 19",0.236648
2019-05-22,1851.78,1859.68,1871.48,1851.0,2936601,1851.78,1859.68,1871.48,1851.0,2936601,2.16,0.1163,"May 22, 19",0.238086
2019-05-23,1836.59,1815.48,1844.0,1804.2,4424265,1836.59,1815.48,1844.0,1804.2,4424265,-44.2,-2.3768,"May 23, 19",0.20866
2019-05-24,1835.89,1823.28,1841.76,1817.85,3369673,1835.89,1823.28,1841.76,1817.85,3369673,7.8,0.4296,"May 24, 19",0.213853
